id,key,value,type
82969912,power,tower,regular
82969976,power,tower,regular
82973486,ref,28,regular
82973486,name,SR 68;Redwood Rd,regular
82973486,highway,motorway_junction,regular
82989074,highway,turning_circle,regular
82997360,source,Bing,regular
82997360,highway,turning_circle,regular
82997924,highway,turning_circle,regular
82998117,source,Yahoo,regular
82998117,highway,turning_circle,regular
82998313,source,Yahoo,regular
82998313,highway,turning_circle,regular
82998406,source,Yahoo,regular
82998406,highway,turning_circle,regular
83000114,source,Yahoo,regular
83000114,highway,turning_circle,regular
83009153,source,Yahoo,regular
83009153,highway,turning_circle,regular
83011402,source,Bing,regular
83011402,highway,turning_circle,regular
83011479,source,Yahoo,regular
83011479,highway,turning_circle,regular
83012281,source,Yahoo,regular
83012281,highway,turning_circle,regular
83023153,source,Bing,regular
83023153,highway,turning_circle,regular
83029254,source,Yahoo,regular
83029254,highway,turning_circle,regular
83038437,source,Bing,regular
83038437,highway,turning_circle,regular
83039452,highway,turning_circle,regular
83042504,source,Mapbox,regular
83042504,highway,turning_circle,regular
83044621,highway,turning_circle,regular
83051093,highway,turning_circle,regular
83054542,source,Bing,regular
83054542,highway,turning_circle,regular
83057195,source,Yahoo,regular
83057195,highway,turning_circle,regular
83059185,source,Yahoo,regular
83059185,highway,turning_circle,regular
83060235,source,Mapbox,regular
83060235,highway,turning_circle,regular
83061032,source,Yahoo,regular
83061032,highway,turning_circle,regular
83062284,highway,turning_circle,regular
83063428,source,Yahoo,regular
83063428,highway,turning_circle,regular
83066272,source,Yahoo,regular
83066272,highway,turning_circle,regular
83067877,source,Bing,regular
83067877,highway,turning_circle,regular
83068989,source,Yahoo,regular
83068989,highway,turning_circle,regular
83069467,source,Yahoo,regular
83069467,highway,turning_circle,regular
83069863,highway,turning_circle,regular
83073852,source,Yahoo,regular
83073852,highway,turning_circle,regular
83076486,source,Bing,regular
83076486,highway,turning_circle,regular
83077043,source,Yahoo,regular
83077043,highway,turning_circle,regular
83527665,highway,turning_circle,regular
83538293,highway,turning_circle,regular
83538751,ele,1358,regular
83538751,name,McDonald Condo,regular
83538751,is_in,"Salt Lake,Utah,Utah,UT,USA",regular
83538751,id,1437360,gnis
83538751,building,yes,regular
83538751,gnis:Class,Populated Place,regular
83538751,gnis:County,Salt Lake,regular
83538751,gnis:ST_num,49,regular
83538751,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
83538751,gnis:ST_alpha,UT,regular
83538751,gnis:County_num,035,regular
83541757,highway,turning_circle,regular
83541839,highway,traffic_signals,regular
83541839,crossing,traffic_signals,regular
83542095,highway,turning_circle,regular
83542159,highway,stop,regular
83543453,highway,turning_circle,regular
83545033,highway,turning_circle,regular
83545757,highway,turning_circle,regular
83545824,highway,turning_circle,regular
83547948,highway,traffic_signals,regular
83547948,crossing,traffic_signals,regular
83549945,highway,traffic_signals,regular
83550583,highway,turning_circle,regular
83551295,highway,turning_circle,regular
83551720,highway,turning_circle,regular
83551798,highway,turning_circle,regular
83552182,highway,turning_circle,regular
83554270,highway,turning_circle,regular
83555217,highway,turning_circle,regular
83556239,source,Yahoo,regular
83556239,highway,turning_circle,regular
83557215,highway,turning_circle,regular
83557755,highway,turning_circle,regular
83558578,highway,turning_circle,regular
83560696,highway,turning_circle,regular
83568197,highway,turning_circle,regular
83568705,highway,turning_circle,regular
83572948,highway,turning_circle,regular
83573508,highway,turning_circle,regular
83573612,source,Yahoo,regular
83573612,highway,turning_circle,regular
83574439,highway,turning_circle,regular
83575246,source,Bing,regular
83575246,highway,traffic_signals,regular
83575530,highway,turning_circle,regular
83575969,source,Yahoo,regular
83575969,highway,turning_circle,regular
83581127,railway,level_crossing,regular
83583408,highway,traffic_signals,regular
83587894,highway,turning_circle,regular
83588225,highway,turning_circle,regular
83588373,highway,crossing,regular
83588651,highway,traffic_signals,regular
83588651,crossing,traffic_signals,regular
83589269,highway,turning_circle,regular
83590565,highway,turning_circle,regular
83593012,highway,turning_circle,regular
83593314,highway,traffic_signals,regular
83593314,crossing,traffic_signals,regular
83596639,crossing,traffic_signals,regular
83596639,highway,traffic_signals,regular
83597052,highway,turning_circle,regular
83600002,highway,stop,regular
83600883,highway,traffic_signals,regular
83602737,highway,traffic_signals,regular
83602737,crossing,traffic_signals,regular
83604283,highway,turning_circle,regular
83604365,highway,turning_circle,regular
83604983,source,Yahoo,regular
83604983,highway,turning_circle,regular
83605654,highway,turning_circle,regular
83606810,highway,turning_circle,regular
83609853,highway,traffic_signals,regular
83609853,crossing,traffic_signals,regular
83610816,highway,turning_circle,regular
83612652,highway,turning_circle,regular
83614277,highway,turning_circle,regular
83616548,highway,turning_circle,regular
83617572,highway,turning_circle,regular
83618881,highway,turning_circle,regular
83619387,highway,turning_circle,regular
83621458,highway,traffic_signals,regular
83621458,crossing,traffic_signals,regular
83621939,highway,turning_circle,regular
83622376,highway,turning_circle,regular
83622804,highway,turning_circle,regular
83622947,highway,turning_circle,regular
83623072,highway,turning_circle,regular
83623441,highway,traffic_signals,regular
83623441,crossing,traffic_signals,regular
83624650,highway,turning_circle,regular
83625423,highway,turning_circle,regular
83625853,highway,turning_circle,regular
83627197,highway,turning_circle,regular
83628857,highway,traffic_signals,regular
83628857,crossing,traffic_signals,regular
83629419,highway,turning_circle,regular
83629500,highway,turning_circle,regular
83630374,source,Yahoo,regular
83630374,highway,turning_circle,regular
83632358,highway,turning_circle,regular
83634814,highway,traffic_signals,regular
83635983,highway,turning_circle,regular
83639224,highway,turning_circle,regular
83639358,highway,turning_circle,regular
83639581,highway,turning_circle,regular
83640703,highway,turning_circle,regular
83640969,highway,turning_circle,regular
83643196,source,Yahoo,regular
83643196,highway,turning_circle,regular
83644157,highway,turning_circle,regular
83646023,highway,turning_circle,regular
83646477,highway,turning_circle,regular
83647910,highway,turning_circle,regular
83648099,source,Yahoo,regular
83648099,highway,turning_circle,regular
83648324,highway,turning_circle,regular
83649082,highway,turning_circle,regular
83650807,highway,turning_circle,regular
83651405,highway,turning_circle,regular
83653629,highway,turning_circle,regular
83657242,highway,turning_circle,regular
83657334,railway,crossing,regular
83657404,highway,turning_circle,regular
83658222,highway,turning_circle,regular
83658320,highway,turning_circle,regular
83659218,source,Yahoo,regular
83659218,highway,turning_circle,regular
83659304,highway,turning_circle,regular
83663931,highway,turning_circle,regular
83664138,highway,turning_circle,regular
83665160,highway,turning_circle,regular
83665964,highway,turning_circle,regular
83666083,highway,turning_circle,regular
83666961,source,Bing,regular
83666961,highway,turning_circle,regular
83668964,highway,turning_circle,regular
83670550,highway,turning_circle,regular
83672457,highway,turning_circle,regular
83673651,highway,turning_circle,regular
83677362,source,Yahoo,regular
83677362,highway,turning_circle,regular
83677971,crossing,traffic_signals,regular
83677971,highway,crossing,regular
83678470,highway,turning_circle,regular
83679771,highway,turning_circle,regular
83680940,highway,turning_circle,regular
83681384,highway,turning_circle,regular
83681608,highway,turning_circle,regular
83682148,highway,turning_circle,regular
83683433,highway,turning_circle,regular
83684672,highway,turning_circle,regular
83685107,highway,turning_circle,regular
83688145,noexit,yes,regular
83688534,highway,turning_circle,regular
83688812,highway,turning_circle,regular
83689082,highway,turning_circle,regular
83689187,highway,turning_circle,regular
83690060,highway,turning_circle,regular
83690259,highway,turning_circle,regular
83692629,highway,turning_circle,regular
83693851,highway,turning_circle,regular
83694879,highway,turning_circle,regular
83695069,source,Yahoo,regular
83695069,highway,turning_circle,regular
83695749,highway,turning_circle,regular
83697105,highway,turning_circle,regular
83697270,highway,turning_circle,regular
83700688,highway,turning_circle,regular
83701886,highway,turning_circle,regular
83702360,highway,turning_circle,regular
83703504,highway,turning_circle,regular
83704205,highway,turning_circle,regular
83706038,highway,turning_circle,regular
83708275,highway,turning_circle,regular
83709001,highway,turning_circle,regular
83712008,highway,turning_circle,regular
83713190,highway,turning_circle,regular
83714284,source,Bing,regular
83714284,highway,turning_circle,regular
83714580,highway,turning_circle,regular
83715159,highway,turning_circle,regular
83717509,highway,turning_circle,regular
83717660,highway,turning_circle,regular
83718203,highway,turning_circle,regular
83718374,highway,turning_circle,regular
83817637,highway,turning_circle,regular
83867385,name,Super Condor Express,regular
83867385,aerialway,station,regular
83941939,power,pole,regular
83941939,source,bing,regular
84007002,highway,turning_circle,regular
84008135,railway,level_crossing,regular
84008177,railway,level_crossing,regular
84012006,highway,turning_circle,regular
84015766,highway,turning_circle,regular
84018223,highway,turning_circle,regular
84071311,source,bing,regular
84071311,highway,turning_circle,regular
84071556,highway,stop,regular
84166187,highway,turning_circle,regular
84181307,power,tower,regular
84219133,highway,turning_circle,regular
84407458,highway,traffic_signals,regular
84502197,highway,turning_circle,regular
84520880,highway,turning_circle,regular
84520880,source,NAIP,regular
84640058,highway,turning_circle,regular
84715936,source,bing,regular
84715936,highway,turning_circle,regular
84728002,highway,traffic_signals,regular
84728245,source,bing,regular
84728245,highway,turning_circle,regular
84729977,highway,turning_circle,regular
84741812,highway,traffic_signals,regular
84747966,highway,traffic_signals,regular
84748285,source,NAIP,regular
84748285,highway,turning_loop,regular
84757770,highway,turning_circle,regular
84763210,highway,turning_circle,regular
84763497,source,NAIP,regular
84763497,highway,turning_loop,regular
84763867,highway,turning_circle,regular
84763943,highway,traffic_signals,regular
84764111,highway,turning_circle,regular
84767325,highway,turning_loop,regular
84768783,source,bing,regular
84768783,highway,turning_circle,regular
84774903,source,bing,regular
84774903,highway,turning_circle,regular
84777748,highway,turning_circle,regular
84779583,source,bing,regular
84779583,highway,turning_circle,regular
84785923,source,bing,regular
84785923,highway,turning_circle,regular
84787470,source,bing,regular
84787470,highway,turning_circle,regular
84793120,source,NAIP,regular
84793120,highway,turning_circle,regular
84794751,highway,traffic_signals,regular
84794890,highway,turning_circle,regular
84797852,highway,turning_circle,regular
84800308,source,bing,regular
84800308,highway,turning_circle,regular
84802058,highway,traffic_signals,regular
84802058,traffic_signals,signal,regular
84822530,source,bing,regular
84822530,highway,turning_circle,regular
84822875,highway,turning_circle,regular
84825974,highway,turning_circle,regular
84845079,highway,traffic_signals,regular
84850470,junction,roundabout,regular
84854118,source,bing,regular
84854118,highway,turning_circle,regular
84854332,source,bing,regular
84854332,highway,turning_circle,regular
84854643,highway,turning_circle,regular
