id,user,uid,version,changeset,timestamp
10087814,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:14Z
10088013,torapa,5446055,2,50552560,2017-07-25T10:01:18Z
10088171,Ekagrah,2042452,4,44039893,2016-11-29T17:59:41Z
10088298,DaveHansenTiger,7168,1,279881,2007-10-22T07:49:39Z
10088466,DaveHansenTiger,7168,1,279881,2007-10-22T07:51:55Z
10088633,butlerm,104930,2,2837961,2009-10-13T18:06:37Z
10088799,butlerm,104930,2,1444328,2009-06-07T06:20:50Z
10088919,butlerm,104930,3,1938069,2009-07-25T20:45:32Z
10089084,Val,65769,5,5298611,2010-07-23T20:23:18Z
10089226,Val,65769,2,4435864,2010-04-16T04:04:30Z
10089407,butlerm,104930,3,2185028,2009-08-18T04:52:50Z
10089582,SpaceBear42,5013512,8,44637527,2016-12-24T02:20:24Z
10089707,TheIrishMob,2083558,4,26654791,2014-11-09T00:41:56Z
10089825,Val,65769,3,29213727,2015-03-03T03:56:50Z
10089937,paulmach,91499,3,50214865,2017-07-11T23:02:28Z
10090082,butlerm,104930,3,2421897,2009-09-09T07:49:28Z
10090191,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:15Z
10090307,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:18Z
10090359,TheDutchMan13,1330847,3,49210345,2017-06-03T00:23:19Z
10090422,balrog-kun,20587,4,4308008,2010-04-02T21:19:52Z
10090489,bot-mode,451693,4,14499974,2013-01-02T13:44:34Z
10090561,TheDutchMan13,1330847,5,49210345,2017-06-03T00:23:26Z
10090647,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:28Z
10090715,TheDutchMan13,1330847,4,49210703,2017-06-03T01:26:12Z
10090797,TheDutchMan13,1330847,6,49210345,2017-06-03T00:23:32Z
10090860,Val,65769,4,22665662,2014-06-01T01:43:01Z
10090952,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:37Z
10091033,TheDutchMan13,1330847,6,49210345,2017-06-03T00:23:40Z
10091125,TheDutchMan13,1330847,5,49210703,2017-06-03T01:26:35Z
10091267,bot-mode,451693,5,14517553,2013-01-03T20:02:51Z
10091374,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:47Z
10091492,TheDutchMan13,1330847,5,49210345,2017-06-03T00:23:48Z
10091569,TheDutchMan13,1330847,3,49210345,2017-06-03T00:23:50Z
10091693,TheDutchMan13,1330847,6,49210703,2017-06-03T01:27:02Z
10091771,TheDutchMan13,1330847,4,49210703,2017-06-03T01:27:06Z
10091848,TheDutchMan13,1330847,6,49210345,2017-06-03T00:23:57Z
10091937,TheDutchMan13,1330847,4,49210345,2017-06-03T00:23:59Z
10092015,butlerm,104930,4,2421678,2009-09-09T07:19:02Z
10092092,TheDutchMan13,1330847,3,49210345,2017-06-03T00:24:03Z
10092162,TheIrishMob,2083558,11,26812324,2014-11-16T00:12:42Z
10092246,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:08Z
10092320,TheDutchMan13,1330847,5,49210703,2017-06-03T01:27:31Z
10092436,TheDutchMan13,1330847,5,49210703,2017-06-03T01:27:36Z
10092550,TheDutchMan13,1330847,8,49210703,2017-06-03T01:27:39Z
10092649,bot-mode,451693,4,14517553,2013-01-03T20:03:23Z
10092738,curly_dawg,78490,13,51097702,2017-08-14T04:07:16Z
10092824,TheIrishMob,2083558,4,22554392,2014-05-26T03:07:08Z
10092887,TheDutchMan13,1330847,4,49210703,2017-06-03T01:27:57Z
10092991,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:24Z
10093075,TheDutchMan13,1330847,5,49210345,2017-06-03T00:24:26Z
10093167,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:29Z
10093259,TheDutchMan13,1330847,3,49210345,2017-06-03T00:24:31Z
10093331,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:33Z
10093473,TheDutchMan13,1330847,7,49210345,2017-06-03T00:24:36Z
10093585,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:38Z
10093725,Evanator,451067,11,21655320,2014-04-12T23:06:06Z
10093797,TheDutchMan13,1330847,5,49210345,2017-06-03T00:24:43Z
10093908,TheDutchMan13,1330847,4,49210703,2017-06-03T01:28:48Z
10093990,bot-mode,451693,4,14517553,2013-01-03T20:03:58Z
10094094,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:52Z
10094201,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:54Z
10094277,TheDutchMan13,1330847,4,49210703,2017-06-03T01:29:05Z
10094352,TheDutchMan13,1330847,4,49210345,2017-06-03T00:24:58Z
10094442,TheDutchMan13,1330847,5,49210345,2017-06-03T00:25:01Z
10094579,TheDutchMan13,1330847,4,49210703,2017-06-03T01:29:19Z
10094681,TheDutchMan13,1330847,4,49210703,2017-06-03T01:29:23Z
10094875,TheDutchMan13,1330847,4,49210703,2017-06-03T01:29:25Z
10094961,TheDutchMan13,1330847,4,49210345,2017-06-03T00:25:09Z
10095035,TheDutchMan13,1330847,6,49210703,2017-06-03T01:29:34Z
10095184,bot-mode,451693,3,15788102,2013-04-19T17:44:34Z
10095302,torapa,5446055,8,50552560,2017-07-25T10:01:25Z
10095379,TheDutchMan13,1330847,4,49210345,2017-06-03T00:25:18Z
10095473,bot-mode,451693,3,15788102,2013-04-19T17:44:41Z
10095559,TheDutchMan13,1330847,5,49210345,2017-06-03T00:25:22Z
10095631,TheDutchMan13,1330847,4,49210345,2017-06-03T00:25:25Z
10095708,TheDutchMan13,1330847,4,49210345,2017-06-03T00:25:27Z
10095815,mvexel,8909,6,47263490,2017-03-29T15:32:07Z
10096107,Val,65769,5,4436277,2010-04-16T06:40:18Z
10096260,TheDutchMan13,1330847,5,49210345,2017-06-03T00:25:30Z
10096410,TheDutchMan13,1330847,4,49210703,2017-06-03T01:30:24Z
10096517,TheDutchMan13,1330847,5,49210703,2017-06-03T01:30:27Z
10096564,TheDutchMan13,1330847,4,49210703,2017-06-03T01:30:30Z
10096644,TheDutchMan13,1330847,4,49210703,2017-06-03T01:30:34Z
10096731,TheDutchMan13,1330847,5,49210345,2017-06-03T00:25:40Z
10096824,TheDutchMan13,1330847,20,49210703,2017-06-03T01:30:43Z
10096927,TheDutchMan13,1330847,5,49210703,2017-06-03T01:30:48Z
10096981,TheDutchMan13,1330847,5,49210345,2017-06-03T00:25:46Z
10097101,TheDutchMan13,1330847,3,49210703,2017-06-03T01:30:56Z
10097188,dannykath,2226712,2,45518331,2017-01-26T16:06:11Z
10097294,TheDutchMan13,1330847,6,49210345,2017-06-03T00:25:53Z
10097404,TheDutchMan13,1330847,6,49210703,2017-06-03T01:31:12Z
10097530,bot-mode,451693,3,14499974,2013-01-02T13:47:50Z
10097658,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:00Z
10097739,TheDutchMan13,1330847,3,49210345,2017-06-03T00:26:02Z
10097926,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:04Z
10098039,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:06Z
10098112,TheDutchMan13,1330847,5,49210703,2017-06-03T01:31:43Z
10098211,TheDutchMan13,1330847,5,49210345,2017-06-03T00:26:10Z
10098283,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:12Z
10098380,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:14Z
10098491,TheDutchMan13,1330847,3,49210345,2017-06-03T00:26:17Z
10098603,paulmach,91499,3,50465373,2017-07-21T18:16:15Z
10098705,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:21Z
10098816,torapa,5446055,7,50552560,2017-07-25T10:01:28Z
10098904,TheDutchMan13,1330847,5,49210345,2017-06-03T00:26:26Z
10099000,TheDutchMan13,1330847,3,49210345,2017-06-03T00:26:28Z
10099071,TheDutchMan13,1330847,5,49210345,2017-06-03T00:26:31Z
10099127,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:32Z
10099235,TheDutchMan13,1330847,5,49210345,2017-06-03T00:26:35Z
10099347,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:37Z
10099443,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:40Z
10099533,TheDutchMan13,1330847,5,49210345,2017-06-03T00:26:42Z
10099678,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:45Z
10099782,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:47Z
10099927,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:50Z
10100025,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:51Z
10100110,Val,65769,5,15661582,2013-04-09T03:30:47Z
10100184,TheDutchMan13,1330847,5,49210703,2017-06-03T01:33:43Z
10100274,TheDutchMan13,1330847,4,49210345,2017-06-03T00:26:59Z
10100328,torapa,5446055,5,50552560,2017-07-25T10:01:31Z
10100416,TheDutchMan13,1330847,3,49210703,2017-06-03T01:34:00Z
10120055,Ekagrah,2042452,9,43631679,2016-11-14T06:28:45Z
10120276,butlerm,104930,2,1841019,2009-07-16T00:30:19Z
10120366,butlerm,104930,2,1848259,2009-07-16T20:16:46Z
10120534,DaveHansenTiger,7168,1,282560,2007-10-22T16:18:56Z
10120943,mvexel,8909,4,32105813,2015-06-20T21:58:35Z
10121144,butlerm,104930,2,1832521,2009-07-15T03:46:04Z
10121277,DaveHansenTiger,7168,1,282863,2007-10-22T16:27:49Z
10121485,TheDutchMan13,1330847,4,49210703,2017-06-03T01:34:13Z
10121812,paulmach,91499,18,50571420,2017-07-25T22:01:37Z
10124593,butlerm,104930,2,207518,2009-04-05T06:34:52Z
10124687,gscholz,109705,5,21686540,2014-04-14T14:39:26Z
10124842,afdreher,1110270,15,28889948,2015-02-16T16:39:37Z
10124999,DaveHansenTiger,7168,1,282863,2007-10-22T17:20:17Z
10125118,mvexel,8909,3,22660246,2014-05-31T18:11:26Z
10125259,DaveHansenTiger,7168,1,283419,2007-10-22T17:24:23Z
10125383,butlerm,104930,2,293703,2009-04-07T06:24:59Z
10125503,colindt,2406578,12,49183787,2017-06-02T05:15:18Z
10125682,Ted Percival,30079,2,842314,2009-03-21T23:55:53Z
10125856,Hobgoblin,106914,3,50489905,2017-07-22T21:59:08Z
10125959,DaveHansenTiger,7168,1,283419,2007-10-22T17:33:13Z
10126118,DaveHansenTiger,7168,1,283419,2007-10-22T17:35:37Z
10126270,DaveHansenTiger,7168,1,283419,2007-10-22T17:37:38Z
10126348,mvexel,8909,3,17029271,2013-07-20T22:05:13Z
10126455,mvexel,8909,4,17181372,2013-08-01T15:48:38Z
10126530,butlerm,104930,2,1848856,2009-07-16T21:14:49Z
10126663,CloCkWeRX,172061,3,46727739,2017-03-10T03:47:19Z
10126764,Sundance,239998,19,17377727,2013-08-16T21:49:16Z
10126886,RoadGeek_MD99,475877,2,9621076,2011-10-22T02:41:42Z
10127007,Level,105503,5,43332254,2016-11-01T17:57:05Z
10127043,TheDutchMan13,1330847,4,49210345,2017-06-03T00:27:06Z
10127082,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:27Z
10127135,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:29Z
10127165,TheDutchMan13,1330847,3,49210345,2017-06-03T00:27:11Z
10127209,TheDutchMan13,1330847,6,49209938,2017-06-02T23:30:33Z
10127247,TheDutchMan13,1330847,5,49210345,2017-06-03T00:27:14Z
10127282,balrog-kun,20587,2,4308008,2010-04-02T22:38:50Z
10127316,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:40Z
10127352,TheDutchMan13,1330847,3,49210345,2017-06-03T00:27:20Z
10127387,TheDutchMan13,1330847,7,49210345,2017-06-03T00:27:23Z
10127424,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:45Z
10127460,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:48Z
10127496,TheDutchMan13,1330847,4,49209938,2017-06-02T23:30:50Z
10127527,TheDutchMan13,1330847,4,49210345,2017-06-03T00:27:30Z
10127561,TheDutchMan13,1330847,5,49209938,2017-06-02T23:30:55Z
10127609,TheDutchMan13,1330847,7,49210345,2017-06-03T00:27:34Z
10127653,TheDutchMan13,1330847,7,49210345,2017-06-03T00:27:36Z
10127688,Timothy Smith,115918,5,30763312,2015-05-03T23:38:20Z
10127719,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:04Z
10127757,TheDutchMan13,1330847,4,49210345,2017-06-03T00:27:42Z
10127791,TheDutchMan13,1330847,3,49209938,2017-06-02T23:31:08Z
10127826,TheDutchMan13,1330847,5,49209938,2017-06-02T23:31:12Z
10127860,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:15Z
10127892,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:17Z
10127928,TheDutchMan13,1330847,6,49210345,2017-06-03T00:27:51Z
10127973,TheDutchMan13,1330847,6,49210345,2017-06-03T00:27:53Z
10128009,RichRico,2219338,7,31933036,2015-06-12T21:57:07Z
10128049,TheDutchMan13,1330847,4,49210345,2017-06-03T00:27:56Z
10128082,TheDutchMan13,1330847,11,49210345,2017-06-03T00:27:59Z
10128123,torapa,5446055,5,50609818,2017-07-27T07:06:11Z
10128181,TheDutchMan13,1330847,7,49209938,2017-06-02T23:31:33Z
10128216,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:36Z
10128263,TheDutchMan13,1330847,4,49210345,2017-06-03T00:28:05Z
10128298,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:41Z
10128356,TheDutchMan13,1330847,6,49210345,2017-06-03T00:28:09Z
10128398,Level,105503,6,41540517,2016-08-18T18:01:39Z
10128455,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:47Z
10128489,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:50Z
10128557,TheDutchMan13,1330847,6,49209938,2017-06-02T23:31:54Z
10128607,TheDutchMan13,1330847,4,49209938,2017-06-02T23:31:57Z
10128642,TheDutchMan13,1330847,6,49210345,2017-06-03T00:28:20Z
10128691,TheDutchMan13,1330847,8,49210345,2017-06-03T00:28:21Z
10128726,TheDutchMan13,1330847,6,49209938,2017-06-02T23:32:03Z
10128771,TheDutchMan13,1330847,6,49209938,2017-06-02T23:32:06Z
10128815,TheDutchMan13,1330847,6,49209938,2017-06-02T23:32:08Z
10128872,TheDutchMan13,1330847,6,49209938,2017-06-02T23:32:12Z
10128899,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:15Z
10128969,timawesomeness,6228256,15,49850232,2017-06-27T01:25:44Z
10129011,TheDutchMan13,1330847,20,49209938,2017-06-02T23:32:21Z
10129047,TheDutchMan13,1330847,4,49210345,2017-06-03T00:28:32Z
10129084,TheDutchMan13,1330847,6,49210345,2017-06-03T00:28:34Z
10129124,TheDutchMan13,1330847,3,49210345,2017-06-03T00:28:37Z
10129170,TheDutchMan13,1330847,4,49209938,2017-06-02T23:32:28Z
10129214,TheDutchMan13,1330847,4,49210345,2017-06-03T00:28:42Z
10129264,TheDutchMan13,1330847,8,49209938,2017-06-02T23:32:32Z
10129318,TheDutchMan13,1330847,4,49210345,2017-06-03T00:28:46Z
10129365,TheDutchMan13,1330847,4,49209938,2017-06-02T23:32:38Z
10129408,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:41Z
10129453,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:43Z
10129502,TheDutchMan13,1330847,7,49210345,2017-06-03T00:28:53Z
10129534,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:47Z
10129563,TheDutchMan13,1330847,6,49209938,2017-06-02T23:32:50Z
10129593,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:52Z
10129622,TheDutchMan13,1330847,4,49210345,2017-06-03T00:28:59Z
10129650,TheDutchMan13,1330847,5,49209938,2017-06-02T23:32:57Z
10129684,Gohoop,6324786,5,50318828,2017-07-16T06:57:43Z
10129718,Glassman,447903,9,49934392,2017-06-30T03:32:36Z
10129753,Level,105503,10,52834767,2017-10-11T17:52:44Z
10129785,TheDutchMan13,1330847,5,49209938,2017-06-02T23:33:06Z
10129818,TheDutchMan13,1330847,5,49209938,2017-06-02T23:33:09Z
10129854,TheDutchMan13,1330847,6,49209938,2017-06-02T23:33:11Z
10129885,torapa,5446055,5,50517972,2017-07-24T06:48:37Z
10129917,TheDutchMan13,1330847,6,49209938,2017-06-02T23:33:15Z
10129959,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:20Z
10130002,TheDutchMan13,1330847,5,49209938,2017-06-02T23:33:20Z
10130041,TheDutchMan13,1330847,7,49209938,2017-06-02T23:33:22Z
10130071,TheDutchMan13,1330847,3,49210345,2017-06-03T00:29:25Z
10130104,TheDutchMan13,1330847,5,49209938,2017-06-02T23:33:28Z
10130139,TheDutchMan13,1330847,3,49209938,2017-06-02T23:33:30Z
10130169,TheDutchMan13,1330847,3,49210345,2017-06-03T00:29:31Z
10130201,TheDutchMan13,1330847,5,49209938,2017-06-02T23:33:36Z
10130247,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:36Z
10130282,TheDutchMan13,1330847,5,49210345,2017-06-03T00:29:37Z
10130307,TheDutchMan13,1330847,9,49209938,2017-06-02T23:33:42Z
10130342,Kevin Atkinson,321736,4,5405091,2010-08-05T07:14:55Z
10130375,TheDutchMan13,1330847,8,49210345,2017-06-03T00:29:42Z
10130409,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:44Z
10130445,TheDutchMan13,1330847,4,49209938,2017-06-02T23:33:53Z
10130478,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:47Z
10130509,TheDutchMan13,1330847,5,49210345,2017-06-03T00:29:50Z
10130546,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:51Z
10130580,TheDutchMan13,1330847,5,49210345,2017-06-03T00:29:54Z
10130636,TheDutchMan13,1330847,4,49210345,2017-06-03T00:29:56Z
10130679,TheDutchMan13,1330847,7,49209938,2017-06-02T23:34:07Z
10130714,TheDutchMan13,1330847,5,49210345,2017-06-03T00:30:00Z
10130750,TheDutchMan13,1330847,4,49209938,2017-06-02T23:34:12Z
10130783,TheDutchMan13,1330847,5,49209938,2017-06-02T23:34:14Z
10130820,torapa,5446055,5,50517972,2017-07-24T06:48:39Z
10130856,TheDutchMan13,1330847,6,49210345,2017-06-03T00:30:06Z
10130905,TheDutchMan13,1330847,7,49209938,2017-06-02T23:34:23Z
10130937,TheDutchMan13,1330847,4,49209938,2017-06-02T23:34:26Z
10130983,TheDutchMan13,1330847,5,49209938,2017-06-02T23:34:29Z
10131031,TheDutchMan13,1330847,6,49210345,2017-06-03T00:30:12Z
10131068,TheDutchMan13,1330847,7,49209938,2017-06-02T23:34:35Z
10131101,TheDutchMan13,1330847,4,49210345,2017-06-03T00:30:16Z
10131141,TheDutchMan13,1330847,4,49210345,2017-06-03T00:30:18Z
10131176,TheDutchMan13,1330847,3,49209938,2017-06-02T23:34:43Z
10131214,TheDutchMan13,1330847,4,49210345,2017-06-03T00:30:23Z
10131253,TheDutchMan13,1330847,4,49209938,2017-06-02T23:34:48Z
10131285,TheDutchMan13,1330847,7,49209938,2017-06-02T23:34:50Z
10131320,TheDutchMan13,1330847,18,49209938,2017-06-02T23:34:53Z
10131357,TheDutchMan13,1330847,4,49209938,2017-06-02T23:34:55Z
10131392,TheDutchMan13,1330847,7,49209938,2017-06-02T23:34:59Z
10131436,TheDutchMan13,1330847,4,49210345,2017-06-03T00:30:33Z
10131490,TheDutchMan13,1330847,6,49209938,2017-06-02T23:35:05Z
10131558,mvexel,8909,4,32065613,2015-06-19T03:58:21Z
