id,key,value,type
10087814,name,Old Farm Circle,regular
10087814,name_1,West 1400 North,regular
10087814,highway,residential,regular
10087814,cfcc,A41,tiger
10087814,county,"Davis, UT",tiger
10087814,reviewed,no,tiger
10087814,name_base,Old Farm,tiger
10087814,name_type,Cir,tiger
10087814,name_base_1,1400,tiger
10087814,name_direction_prefix_1,W,tiger
10087814,name_direction_suffix_1,N,tiger
10088013,highway,residential,regular
10088013,cfcc,A41,tiger
10088013,county,"Davis, UT",tiger
10088171,highway,path,regular
10088171,cfcc,A41,tiger
10088171,county,"Davis, UT",tiger
10088171,reviewed,no,tiger
10088298,highway,residential,regular
10088298,cfcc,A41,tiger
10088298,tlid,155364670:155364669,tiger
10088298,county,"Davis, UT",tiger
10088298,source,tiger_import_dch_v0.6_20070830,tiger
10088298,reviewed,no,tiger
10088298,separated,no,tiger
10088298,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10088466,highway,residential,regular
10088466,cfcc,A41,tiger
10088466,tlid,229338577,tiger
10088466,county,"Davis, UT",tiger
10088466,source,tiger_import_dch_v0.6_20070830,tiger
10088466,reviewed,no,tiger
10088466,separated,no,tiger
10088466,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10088633,highway,service,regular
10088633,cfcc,A41,tiger
10088633,tlid,155365426,tiger
10088633,county,"Davis, UT",tiger
10088633,source,tiger_import_dch_v0.6_20070830,tiger
10088633,reviewed,no,tiger
10088633,separated,no,tiger
10088633,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10088799,highway,service,regular
10088799,cfcc,A41,tiger
10088799,tlid,229358819:229338245,tiger
10088799,county,"Davis, UT",tiger
10088799,source,tiger_import_dch_v0.6_20070830,tiger
10088799,reviewed,no,tiger
10088799,separated,no,tiger
10088799,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10088919,highway,service,regular
10088919,service,parking_aisle,regular
10088919,surface,paved,regular
10088919,cfcc,A41,tiger
10088919,tlid,155365501,tiger
10088919,county,"Davis, UT",tiger
10088919,source,tiger_import_dch_v0.6_20070830,tiger
10088919,separated,no,tiger
10088919,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10089084,highway,track,regular
10089084,tracktype,grade1,regular
10089084,cfcc,A41,tiger
10089084,tlid,155364959,tiger
10089084,county,"Davis, UT",tiger
10089084,source,tiger_import_dch_v0.6_20070830,tiger
10089084,reviewed,no,tiger
10089084,separated,no,tiger
10089084,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10089226,highway,residential,regular
10089226,cfcc,A41,tiger
10089226,tlid,155366567,tiger
10089226,county,"Davis, UT",tiger
10089226,source,tiger_import_dch_v0.6_20070830,tiger
10089226,reviewed,no,tiger
10089226,separated,no,tiger
10089226,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10089407,highway,track,regular
10089407,cfcc,A41,tiger
10089407,tlid,155364725:155364726:229363277,tiger
10089407,county,"Davis, UT",tiger
10089407,source,tiger_import_dch_v0.6_20070830,tiger
10089407,reviewed,no,tiger
10089407,separated,no,tiger
10089407,upload_uuid,bulk_upload.pl-9bac8d80-461b-4570-833d-f2ebb6879964,tiger
10089582,name,Bonneville Lane,regular
10089582,highway,residential,regular
10089582,cfcc,A41,tiger
10089582,county,"Davis, UT",tiger
10089582,reviewed,yes,tiger
